# "C-13 APPENDIX - SINGLE YEAR AGE RETURNS BY RESIDENCE, SEX  AND LITERACY STATUS"
Table.Name,State.code,Dist.Code,Area.Name,Literate.Illiterate,Age,Persons.All,Males.All,Females.All,Persons.Rural,Males.Rural,Females.Rural,Persons.Urban,Males.Urban,Females.Urban
C3813A,00,00,India,Illiterate,76,896657,315436,581221,719598,266279,453319,177059,49157,127902
C3813A,00,00,India,Illiterate,77,362298,120902,241396,292568,100945,191623,69730,19957,49773
C3813A,00,00,India,Illiterate,78,539335,160024,379311,445129,135346,309783,94206,24678,69528
C3813A,00,00,India,Illiterate,79,486806,167622,319184,384984,139767,245217,101822,27855,73967
C3813A,00,00,India,Illiterate,80,2694546,990380,1704166,2200985,854926,1346059,493561,135454,358107
C3813A,00,00,India,Illiterate,81,624305,223813,400492,496273,189439,306834,128032,34374,93658
C3813A,00,00,India,Illiterate,82,294108,103536,190572,236215,87598,148617,57893,15938,41955
C3813A,00,00,India,Illiterate,83,159869,52383,107486,123989,42617,81372,35880,9766,26114
C3813A,00,00,India,Illiterate,84,200038,69083,130955,150017,55709,94308,50021,13374,36647
C3813A,00,00,India,Illiterate,85,819524,290082,529442,643434,244542,398892,176090,45540,130550
C3813A,00,00,India,Illiterate,86,238820,82980,155840,181312,67935,113377,57508,15045,42463
C3813A,00,00,India,Illiterate,87,94139,32036,62103,70674,25577,45097,23465,6459,17006
C3813A,00,00,India,Illiterate,88,107865,33782,74083,84116,27407,56709,23749,6375,17374
C3813A,00,00,India,Illiterate,89,114812,38108,76704,87436,31014,56422,27376,7094,20282
C3813A,00,00,India,Illiterate,90,590566,203911,386655,474333,174359,299974,116233,29552,86681
C3813A,00,00,India,Illiterate,91,144447,49216,95231,111564,40445,71119,32883,8771,24112
C3813A,00,00,India,Illiterate,92,63743,21381,42362,49797,17456,32341,13946,3925,10021
C3813A,00,00,India,Illiterate,93,35211,11257,23954,26897,8990,17907,8314,2267,6047
C3813A,00,00,India,Illiterate,94,44032,14610,29422,33639,11813,21826,10393,2797,7596
C3813A,00,00,India,Illiterate,95,163795,56374,107421,130410,47660,82750,33385,8714,24671
C3813A,00,00,India,Illiterate,96,57078,19546,37532,44288,16000,28288,12790,3546,9244
C3813A,00,00,India,Illiterate,97,27647,9232,18415,21608,7536,14072,6039,1696,4343
C3813A,00,00,India,Illiterate,98,49226,15492,33734,40097,12980,27117,9129,2512,6617
C3813A,00,00,India,Illiterate,99,40005,13268,26737,32628,11373,21255,7377,1895,5482
C3813A,00,00,India,Illiterate,+100,326671,126022,200649,249428,96158,153270,77243,29864,47379
C3813A,00,00,India,Illiterate,-1,1591212,666117,925095,1183642,488448,695194,407570,177669,229901
C3813A,01,00,Jammu and Kashmir,Literate,101,7067233,4264671,2802562,4747950,2891749,1856201,2319283,1372922,946361
C3813A,01,00,Jammu and Kashmir,Literate,0,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,1,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,2,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,3,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,4,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,5,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,6,0,0,0,0,0,0,0,0,0
C3813A,01,00,Jammu and Kashmir,Literate,7,179177,96477,82700,135899,73356,62543,43278,23121,20157
C3813A,01,00,Jammu and Kashmir,Literate,8,225552,121795,103757,173521,93716,79805,52031,28079,23952
C3813A,01,00,Jammu and Kashmir,Literate,9,213347,115235,98112,163336,88133,75203,50011,27102,22909
C3813A,01,00,Jammu and Kashmir,Literate,10,262171,142328,119843,201507,109212,92295,60664,33116,27548
C3813A,01,00,Jammu and Kashmir,Literate,11,247909,134165,113744,191465,103464,88001,56444,30701,25743
C3813A,01,00,Jammu and Kashmir,Literate,12,257796,139489,118307,199087,107922,91165,58709,31567,27142
C3813A,01,00,Jammu and Kashmir,Literate,13,235320,126905,108415,180283,97422,82861,55037,29483,25554
C3813A,01,00,Jammu and Kashmir,Literate,14,239864,130022,109842,181789,98942,82847,58075,31080,26995
C3813A,01,00,Jammu and Kashmir,Literate,15,238456,129055,109401,179628,97665,81963,58828,31390,27438
C3813A,01,00,Jammu and Kashmir,Literate,16,230477,125243,105234,171743,93928,77815,58734,31315,27419
C3813A,01,00,Jammu and Kashmir,Literate,17,194871,106478,88393,141997,78454,63543,52874,28024,24850
C3813A,01,00,Jammu and Kashmir,Literate,18,231292,127096,104196,167792,93410,74382,63500,33686,29814
C3813A,01,00,Jammu and Kashmir,Literate,19,175064,97079,77985,123856,69629,54227,51208,27450,23758
C3813A,01,00,Jammu and Kashmir,Literate,20,231712,128628,103084,165204,92928,72276,66508,35700,30808
C3813A,01,00,Jammu and Kashmir,Literate,21,175197,99520,75677,120576,69189,51387,54621,30331,24290
C3813A,01,00,Jammu and Kashmir,Literate,22,186020,106747,79273,126435,73305,53130,59585,33442,26143
C3813A,01,00,Jammu and Kashmir,Literate,23,162555,94110,68445,107277,62627,44650,55278,31483,23795
C3813A,01,00,Jammu and Kashmir,Literate,24,168659,100095,68564,110446,65854,44592,58213,34241,23972
C3813A,01,00,Jammu and Kashmir,Literate,25,207191,124175,83016,136333,82193,54140,70858,41982,28876
C3813A,01,00,Jammu and Kashmir,Literate,26,168509,104121,64388,106704,66100,40604,61805,38021,23784
C3813A,01,00,Jammu and Kashmir,Literate,27,141850,89659,52191,87166,55593,31573,54684,34066,20618
C3813A,01,00,Jammu and Kashmir,Literate,28,164083,100822,63261,102072,63255,38817,62011,37567,24444
C3813A,01,00,Jammu and Kashmir,Literate,29,115946,74339,41607,70143,45660,24483,45803,28679,17124
C3813A,01,00,Jammu and Kashmir,Literate,30,197837,121659,76178,128031,80375,47656,69806,41284,28522
C3813A,01,00,Jammu and Kashmir,Literate,31,112777,73370,39407,70207,46734,23473,42570,26636,15934
C3813A,01,00,Jammu and Kashmir,Literate,32,118630,76053,42577,74247,48908,25339,44383,27145,17238
C3813A,01,00,Jammu and Kashmir,Literate,33,95228,62118,33110,58266,39066,19200,36962,23052,13910
C3813A,01,00,Jammu and Kashmir,Literate,34,96102,62682,33420,57621,38662,18959,38481,24020,14461
C3813A,01,00,Jammu and Kashmir,Literate,35,152704,98262,54442,95347,63436,31911,57357,34826,22531
C3813A,01,00,Jammu and Kashmir,Literate,36,102470,67362,35108,62591,42628,19963,39879,24734,15145
C3813A,01,00,Jammu and Kashmir,Literate,37,79884,53197,26687,47386,32909,14477,32498,20288,12210
C3813A,01,00,Jammu and Kashmir,Literate,38,98676,63543,35133,59191,40000,19191,39485,23543,15942
C3813A,01,00,Jammu and Kashmir,Literate,39,69857,47341,22516,40220,28557,11663,29637,18784,10853
C3813A,01,00,Jammu and Kashmir,Literate,40,135879,92688,43191,83049,58871,24178,52830,33817,19013
C3813A,01,00,Jammu and Kashmir,Literate,41,70597,49698,20899,40372,29823,10549,30225,19875,10350
C3813A,01,00,Jammu and Kashmir,Literate,42,71516,49729,21787,40815,29927,10888,30701,19802,10899
C3813A,01,00,Jammu and Kashmir,Literate,43,54680,37881,16799,30251,22190,8061,24429,15691,8738
C3813A,01,00,Jammu and Kashmir,Literate,44,52191,36540,15651,28560,21248,7312,23631,15292,8339
C3813A,01,00,Jammu and Kashmir,Literate,45,103020,71333,31687,59064,43353,15711,43956,27980,15976
C3813A,01,00,Jammu and Kashmir,Literate,46,56922,39974,16948,31475,23681,7794,25447,16293,9154
C3813A,01,00,Jammu and Kashmir,Literate,47,41422,29155,12267,21850,16722,5128,19572,12433,7139
C3813A,01,00,Jammu and Kashmir,Literate,48,52781,36447,16334,28455,21359,7096,24326,15088,9238
C3813A,01,00,Jammu and Kashmir,Literate,49,34361,24641,9720,17604,13775,3829,16757,10866,5891
C3813A,01,00,Jammu and Kashmir,Literate,50,82778,59580,23198,48242,37357,10885,34536,22223,12313
C3813A,01,00,Jammu and Kashmir,Literate,51,37967,27967,10000,20660,16661,3999,17307,11306,6001
C3813A,01,00,Jammu and Kashmir,Literate,52,34501,24947,9554,18327,14690,3637,16174,10257,5917
C3813A,01,00,Jammu and Kashmir,Literate,53,27223,19757,7466,14132,11410,2722,13091,8347,4744
C3813A,01,00,Jammu and Kashmir,Literate,54,27458,19698,7760,13890,11190,2700,13568,8508,5060
C3813A,01,00,Jammu and Kashmir,Literate,55,50121,35965,14156,28214,22243,5971,21907,13722,8185
C3813A,01,00,Jammu and Kashmir,Literate,56,30054,22163,7891,15674,12915,2759,14380,9248,5132
C3813A,01,00,Jammu and Kashmir,Literate,57,20901,15579,5322,10414,8712,1702,10487,6867,3620
